Radiation,Cost
846.88,3.407406
857.05,3.366973
793.15,3.638232
663.92,4.346403
478.17,6.034807
255.75,11.28314
44,65.58327
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
23.67,121.9123
220.7,13.07505
451.38,6.392981
649.73,4.441328
794.02,3.634246
863.48,3.3419
870.7,3.314188
806.42,3.578363
675.75,4.270313
489.38,5.896571
266.33,10.83492
49.08,58.79511
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
26.65,108.2801
227.67,12.67477
457.08,6.313258
654.33,4.410105
797.95,3.616347
860.6,3.353084
866.95,3.328524
802.45,3.596067
667.65,4.322121
478.9,6.025608
255.45,11.29639
44.95,64.19719
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
27.65,104.364
230.25,12.53274
460.15,6.271137
656.65,4.394523
799.62,3.608794
876.02,3.294062
882.15,3.271171
817.17,3.531289
684.85,4.213571
497.08,5.80523
272.2,10.60126
52.25,55.22802
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
30.85,93.53854
236.08,12.22325
463.08,6.231459
656.5,4.395528
797.67,3.617616
868.23,3.323617
873.1,3.305078
805.65,3.581783
670,4.306961
479.3,6.02058
254,11.36088
45.5,63.42118
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
22.45,128.5374
186.38,15.48269
398.52,7.240951
589.67,4.893693
729.12,3.957735
799.48,3.609426
801.4,3.600778
733.42,3.934531
604.17,4.776245
420.7,6.859196
208.48,13.84144
34.35,84.00768
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
23.05,125.1915
184.23,15.66338
396.98,7.269041
584.92,4.933433
723.73,3.98721
786.23,3.670254
799.23,3.610555
733.83,3.932333
602.33,4.790835
413.48,6.978968
202.25,14.26781
35.62,81.01246
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
24.05,119.986
181.7,15.88147
381.88,7.556468
572.6,5.039581
719.25,4.012046
831.73,3.469472
829.62,3.478296
753.7,3.828664
609.5,4.734477
414.85,6.955921
205.65,14.03192
36.48,79.10263
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
27.17,106.2077
202.85,14.2256
420.7,6.859196
616.25,4.682619
759.65,3.798675
846.83,3.407607
852.6,3.384546
785.17,3.675209
650.77,4.43423
463.15,6.230517
244.3,11.81197
46.3,62.32535
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
28.98,99.57432
203.42,14.18574
417.4,6.913426
608.95,4.738753
749.95,3.847808
815.45,3.538738
823.42,3.504486
759.88,3.797526
630.4,4.577512
448.92,6.428014
219.83,13.1268
46.83,61.61998
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
43,67.10846
262.98,10.97294
498.17,5.792528
698.52,4.131111
838.23,3.442568
902.5,3.197411
907.33,3.180391
841.75,3.428172
708.12,4.075106
519.55,5.55416
293.67,9.826213
66.83,43.17917
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
43.7,66.0335
258.17,11.17738
488.58,5.906226
686.1,4.205894
829.3,3.479638
900.08,3.206008
906.98,3.181618
840.7,3.432454
705.85,4.088211
515.1,5.602143
287.48,10.03779
63.4,45.5152
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
49.42,58.39061
271.7,10.62077
503.2,5.734626
699.23,4.126917
840.83,3.431923
902.23,3.198368
906.5,3.183303
839.42,3.437688
705.38,4.090935
515.42,5.598665
289.65,9.962589
65.9,43.78853
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
53.08,54.36443
275.58,10.47124
504.88,5.715544
698.2,4.133005
836.35,3.450306
906.12,3.184638
905.55,3.186642
831.02,3.472436
687.77,4.195681
489.1,5.899947
259.05,11.13941
53.27,54.17052
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
35.65,80.94429
207.98,13.87472
424.9,6.791395
621.62,4.642167
767.23,3.761146
885.65,3.258244
887.05,3.253102
813.77,3.546044
673.45,4.284897
477.92,6.037964
253.8,11.36983
53.4,54.03865
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
45.98,62.75911
249.8,11.5519
476.83,6.051767
674.33,4.279305
817.55,3.529648
896.5,3.218811
900.4,3.204869
831.15,3.471893
695.05,4.151736
505.5,5.708534
282.7,10.20751
65.25,44.22473
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
60.77,47.48501
285.05,10.12336
515.62,5.596493
711.5,4.055747
853.55,3.380779
922.05,3.129618
923.4,3.125042
850.8,3.391706
712.12,4.052216
518.98,5.56026
292.12,9.878351
69.38,41.59216
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
54.92,52.54304
266.92,10.81097
494.58,5.834574
690.92,4.176553
832.15,3.467721
906.27,3.184111
910.75,3.168448
842.92,3.423414
708.65,4.072058
519.48,5.554908
294.55,9.796856
72.6,39.74744
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
71.02,40.63171
302.55,9.537808
533.77,5.406193
729.3,3.956758
870.15,3.316283
934.5,3.087923
937.23,3.078928
867.73,3.325532
729.88,3.953614
536.1,5.382697
305.17,9.455922
76.1,37.91937
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
56.08,51.4562
261.8,11.0224
485.83,5.939658
678.75,4.251438
817.27,3.530857
913.98,3.157251
910.83,3.16817
835.67,3.453114
697.2,4.138933
505.55,5.707969
280.83,10.27548
67.8,42.56141
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
60.08,48.03036
267.6,10.7835
490.4,5.884306
